,streetname_nl,house_number,municipality_name_nl,postcode
8,Violetlaan,7,Essen,2910
343,Kraaienberg,88,Essen,2910
595,Dreveneind,29,Essen,2910
1864,Smeyerspad,10,Essen,2910
1906,Kalmthoutsesteenweg,140,Essen,2910
3399,Achterstraat,9,Essen,2910
4166,Hemelrijk,53,Essen,2910
5234,Kerkstraat,8,Essen,2910
5354,Heikantvenstraat,45,Essen,2910
5736,Spijker,9,Essen,2910
6192,Noordeneind,14,Essen,2910
6302,Burgem. Dierckxsensstraat,11,Essen,2910
6643,Kraaienberg,47,Essen,2910
6931,Beukendreef,4,Essen,2910
6969,Elshoutlaan,23,Essen,2910
7203,Grensstraat,61,Essen,2910
7540,Zwanenblok,10,Essen,2910
8062,Klaprooslaan,2,Essen,2910
8322,Veldweg,35,Essen,2910
8337,Steenovenstraat,90,Essen,2910
8626,Vossenboslaan,10,Essen,2910
8718,Moerkantsebaan,208,Essen,2910
8859,Oude Baan,22,Essen,2910
9098,Beliestraat,62,Essen,2910
9363,Kapelstraat,31,Essen,2910
9826,Nieuwmoersesteenweg,103,Essen,2910
10218,Schaapsbaan,87,Essen,2910
10472,Over d'Aa,182,Essen,2910
10765,Moerkantsebaan,65,Essen,2910
11004,Over d'Aa,5,Essen,2910
11159,Moerkantsebaan,12,Essen,2910
11706,Kapelstraat,84,Essen,2910
11710,Verbindingsstraat,1,Essen,2910
12725,Sint-Jansstraat,32,Essen,2910
13119,Kuiperstraat,11,Essen,2910
13320,Nolsebaan,59,Essen,2910
13369,Spillebeekweg,16,Essen,2910
14398,Heikantstraat,144,Essen,2910
14661,Over d'Aa,29,Essen,2910
14881,Sint-Jansstraat,228,Essen,2910
16046,Hondsberg,30,Essen,2910
16148,Suzannalaan,32,Essen,2910
16343,Heikantvenstraat,81,Essen,2910
16481,Kraaienberg,124,Essen,2910
16618,Korte Leemstraat,9,Essen,2910
16860,Rodenbachlaan,40,Essen,2910
16875,Nollekensstraat,29,Essen,2910
17508,Nieuwe Heikant,42,Essen,2910
17667,Douglaslaan,16,Essen,2910
17707,Deckerslaan,21,Essen,2910
17807,Kalmthoutsesteenweg,302,Essen,2910
17815,Schelpheuvelstraat,83,Essen,2910
17909,Sint-Jansstraat,85,Essen,2910
18031,Stationsstraat,89,Essen,2910
18179,Patrijzenlaan,3,Essen,2910
18215,Etting,16,Essen,2910
18726,Kievitstraat,15,Essen,2910
18730,Holleweg,18,Essen,2910
19025,Rodenbachlaan,5,Essen,2910
19615,Huybergsebaan,98,Essen,2910
20190,Leemputten,6,Essen,2910
21350,Hey-endlaan,21,Essen,2910
22389,Vossenboslaan,63,Essen,2910
22466,Kalmthoutsesteenweg,129,Essen,2910
23293,Rodenbachlaan,29,Essen,2910
23746,Over d'Aa,57,Essen,2910
24294,Bergsebaan,35,Essen,2910
24543,Zandstraat,1,Essen,2910
24696,Beliestraat,97,Essen,2910
24814,Oude Baan,211,Essen,2910
25431,Heikantlaan,62,Essen,2910
26173,Stationsstraat,18,Essen,2910
27319,Oude Baan,128,Essen,2910
27630,Horendonk,316,Essen,2910
28199,Kalmthoutsesteenweg,51,Essen,2910
28749,Molenakkersstraat,37,Essen,2910
29893,Horendonk,369,Essen,2910
30019,Hemelrijklaan,55,Essen,2910
30566,Voetberglaan,15,Essen,2910
30909,Eekhoornlaan,20,Essen,2910
31852,Nieuwstraat,50,Essen,2910
32474,Den Uil,34,Essen,2910
33372,Zonnedauwlaan,43,Essen,2910
33411,Kraaienberg,71,Essen,2910
33660,Dreveneind,12,Essen,2910
33799,Hendrik Consciencelaan,14,Essen,2910
34519,Steenpaal,62,Essen,2910
34609,Nieuwe Heikant,7,Essen,2910
34915,Kalmthoutsesteenweg,157,Essen,2910
35186,Over d'Aa,272,Essen,2910
35413,Middenstraat,30,Essen,2910
35522,Maststraat,33,Essen,2910
36219,Sint-Antoniusstraat,21,Essen,2910
36672,Oude Baan,39,Essen,2910
36736,Vaartstraat,62,Essen,2910
36791,Moerkantsebaan,316,Essen,2910
37542,Stationsstraat,225,Essen,2910
37557,Nollekensstraat,30,Essen,2910
38227,Steenovenstraat,89,Essen,2910
38801,Bontstraat,95,Essen,2910
38854,Moerkantsebaan,297,Essen,2910
39522,Violetlaan,24,Essen,2910
39654,Over d'Aa,30,Essen,2910
