id,property_location_country,property_location_region,property_location_province,property_location_district,property_location_locality,property_location_postalCode,property_location_street,property_location_number,property_location_latitude,property_location_longitude,property_type,property_subtype,property_bedroomCount,property_showerRoomCount,property_bathroomCount,property_netHabitableSurface,property_roomCount,property_building_condition,property_building_constructionYear,property_building_facadeCount,property_propertyCertificates,property_constructionPermit_floodZoneType,property_constructionPermit_hasPossiblePriorityPurchaseRight,property_constructionPermit_totalBuildableGroundFloorSurface,property_energy_heatingType,property_energy_hasHeatPump,property_energy_hasPhotovoltaicPanels,property_energy_hasThermicPanels,property_energy_performance,property_kitchen_type,property_land_hasGasWaterElectricityConnection,property_land_surface,property_toiletCount,property_hasSwimmingPool,property_fireplaceExists,property_hasTerrace,property_terraceSurface,property_terraceOrientation,transaction_sale_price,publication_creationDate,transaction_certificates_carbonEmission,transaction_certificates_epcScore,transaction_sale_cadastralIncome
9290963,Belgique,Flandres,Anvers,Anvers,Essen,2910,Nollekensstraat,18,51.470107,4.4683796,HOUSE,HOUSE,5,0,1,190,,,2021,2,,NON_FLOOD_ZONE,,0,GAS,,,,,INSTALLED,True,0,2,,False,,,,329000,2021-04-21T03:41:41.000+0000,0,,0
9197034,Belgique,Flandres,Anvers,Anvers,Essen,2910,Karamelstraat,18,51.4687257,4.4690157,HOUSE,HOUSE,5,0,1,160,,,2021,2,,NON_FLOOD_ZONE,False,0,GAS,,,,,,True,0,,,False,,,,272000,2021-03-01T07:48:29.000+0000,0,,0
9144086,Belgique,Flandres,Anvers,Anvers,Essen,2910,Deken Verbiststraat,3,51.4593882,4.4585398,HOUSE,VILLA,6,1,1,375,,AS_NEW,2001,4,,NON_FLOOD_ZONE,False,0,GAS,True,True,,,INSTALLED,True,761,2,True,False,,,,538500,2021-01-29T09:20:55.000+0000,,B,1854
9241626,Belgique,Flandres,Anvers,Anvers,Essen,2910,Kraaienberg,40,51.4657495,4.4998088,HOUSE,VILLA,3,2,1,173,,TO_BE_DONE_UP,1972,4,,NON_FLOOD_ZONE,False,0,FUELOIL,,,,,HYPER_EQUIPPED,True,1781,,,False,,,,466800,2021-03-23T15:08:07.000+0000,,F,1412
9382557,Belgique,Flandres,Anvers,Anvers,Essen,2910,Grensstraat,2,,,HOUSE,HOUSE,3,1,1,210,,JUST_RENOVATED,,2,,NON_FLOOD_ZONE,False,0,GAS,False,False,False,,,True,190,1,False,True,True,20,,410000,2021-06-13T14:49:55.000+0000,,B,0
9395844,Belgique,Flandres,Anvers,Anvers,Essen,2910,Nieuwstraat,106,51.470693,4.4656209,APARTMENT,APARTMENT,1,0,1,90,,GOOD,1933,4,,NON_FLOOD_ZONE,False,0,,,,,,,,,,False,False,True,20,,159000,2021-06-21T15:27:32.000+0000,,B,0
9403923,Belgique,Flandres,Anvers,Anvers,Essen,2910,Kerkstraat,66,51.4623888,4.459,HOUSE,VILLA,5,0,1,266,,TO_BE_DONE_UP,1960,4,,,False,0,GAS,,,,,INSTALLED,,1250,2,,False,True,,,620000,2021-06-25T11:39:21.000+0000,0,F,1700
9397622,Belgique,Flandres,Anvers,Anvers,Essen,2910,Molenstraat,21,51.4642469,4.4621146,HOUSE,HOUSE,3,1,,177,,GOOD,1957,3,,NON_FLOOD_ZONE,,0,GAS,,,,,SEMI_EQUIPPED,,345,2,,False,,,,269000,2021-06-22T11:23:21.000+0000,0,F,674
9374511,Belgique,Flandres,Anvers,Anvers,Essen,2910,Velodreef,48,51.4505294,4.4429054,HOUSE,VILLA,3,0,1,240,,GOOD,1973,4,,,,0,FUELOIL,,,,,INSTALLED,,928,2,,True,,,,475000,2021-06-09T02:58:00.000+0000,0,E,0
9236086,Belgique,Flandres,Anvers,Anvers,Essen,2910,kerkstraat,9,51.4610057,4.4534452,APARTMENT,APARTMENT,2,,1,88,,GOOD,1930,2,,NON_FLOOD_ZONE,,,GAS,,,,,INSTALLED,,,1,,False,True,10,NORTH,189000,2021-03-19T19:07:04.000+0000,,B,459
9396077,Belgique,Flandres,Anvers,Anvers,Essen,2910,,,,,HOUSE,HOUSE,2,0,1,120,,GOOD,1998,4,,,,0,GAS,,,,,,,1220,1,,False,,,,237795,2021-06-21T18:37:52.000+0000,0,E,470
9082011,Belgique,Flandres,Anvers,Anvers,Essen,2910,,,,,HOUSE,MIXED_USE_BUILDING,2,0,2,110,,JUST_RENOVATED,1918,2,,NON_FLOOD_ZONE,False,0,ELECTRIC,,,,,INSTALLED,True,72,2,,False,True,6,,299500,2020-12-16T18:34:54.000+0000,0,D,0
9391395,Belgique,Flandres,Anvers,Anvers,Essen,2910,Sint-Jansstraat,18,51.4280183,4.4629767,HOUSE,MIXED_USE_BUILDING,2,0,1,194,,TO_BE_DONE_UP,1930,3,,,,0,GAS,,,,,SEMI_EQUIPPED,True,110,,,False,,,,184900,2021-06-18T03:08:02.000+0000,,F,739
9348788,Belgique,Flandres,Anvers,Anvers,Essen,2910,,,,,HOUSE,APARTMENT_BLOCK,1,0,,223,,AS_NEW,1957,2,,NON_FLOOD_ZONE,False,0,GAS,,,,,INSTALLED,True,574,,,False,,,,368000,2021-05-25T18:20:09.000+0000,,,1049
9388326,Belgique,Flandres,Anvers,Anvers,Essen,2910,Hendrik Consciencelaan,45,51.4552437,4.4445564,HOUSE,HOUSE,3,0,1,,,,1967,4,,,,0,,,,,,,,564,,,False,,,,260000,2021-06-16T13:56:21.000+0000,,F,1142
